Element,NaN Count,Missing (%)
Ho,441,70.44728434504792
Tm,440,70.28753993610223
Tb,387,61.82108626198083
Cs,351,56.0702875399361
Pr,318,50.798722044728436
Er,316,50.47923322683706
Dy,310,49.52076677316294
Gd,289,46.16613418530351
Ta,266,42.49201277955272
Hf,264,42.17252396166134
Lu,249,39.77635782747604
Eu,237,37.85942492012779
Yb,237,37.85942492012779
Sm,230,36.74121405750799
Nd,214,34.185303514377
U,182,29.073482428115017
Pb,178,28.434504792332266
La,93,14.856230031948881
Y,86,13.738019169329075
Th,84,13.418530351437699
Ce,77,12.300319488817891
Zr,72,11.501597444089457
Ba,59,9.424920127795527
Nb,55,8.78594249201278
Rb,53,8.466453674121405
P,50,7.987220447284344
Sr,38,6.070287539936102
K,28,4.472843450479233
Ti,28,4.472843450479233
