Retained_elements,Samples,Locations,Samples_x_elements,Current_ΔSamples,Next_ΔSamples,RetentionScore
29,118,14,3422,,12.0,0
28,130,14,3640,12.0,0.0,44
27,130,14,3510,0.0,85.0,0
26,215,17,5590,85.0,31.0,15
25,246,18,6150,31.0,3.0,48
24,249,18,5976,3.0,2.0,6
23,251,18,5773,2.0,9.0,1
22,260,18,5720,9.0,16.0,3
21,276,19,5796,16.0,2.0,31
20,278,19,5560,2.0,2.0,4
19,280,19,5320,2.0,5.0,2
18,285,19,5130,5.0,0.0,26
17,285,19,4845,0.0,0.0,0
16,285,19,4560,0.0,36.0,0
15,321,19,4815,36.0,48.0,4
14,369,19,5166,48.0,22.0,11
13,391,20,5083,22.0,54.0,2
12,445,22,5340,54.0,0.0,288
11,445,22,4895,0.0,0.0,0
10,445,22,4450,0.0,26.0,0
9,471,22,4239,26.0,56.0,2
8,527,23,4216,56.0,1.0,118
7,528,23,3696,1.0,7.0,0
6,535,23,3210,7.0,6.0,3
5,541,23,2705,6.0,9.0,2
4,550,23,2200,9.0,22.0,1
3,572,24,1716,22.0,26.0,1
2,598,26,1196,26.0,0.0,31
1,598,26,598,0.0,,0
