,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
K,0.1906,0.3489,-0.0444,0.4621,-0.5685,0.3327,0.065,-0.3533,0.0592,-0.2263,0.0868,-0.0354
Ti,0.3921,-0.1925,-0.1032,-0.0676,-0.1864,-0.0211,-0.3427,0.1367,-0.3058,0.2288,0.6903,-0.0187
Sr,0.2374,-0.2159,0.4811,0.264,0.0925,0.1733,0.6206,0.3732,0.0313,0.009,0.1775,-0.0192
P,0.1271,0.0054,0.6985,0.0984,-0.1827,-0.5562,-0.3015,-0.1748,-0.0308,-0.0556,-0.1326,0.0217
Rb,0.073,0.5365,-0.1653,0.2691,0.0553,-0.2441,-0.1358,0.6736,-0.1612,-0.1954,-0.0901,0.0064
Nb,0.3862,-0.1266,-0.099,-0.2403,0.0014,-0.0672,-0.1268,0.1299,0.7147,-0.4597,0.085,-0.0223
Ba,0.2697,-0.0532,-0.0092,0.5295,0.6422,0.1848,-0.3503,-0.2084,0.0962,0.1186,-0.0692,-0.057
Zr,0.4013,0.1333,-0.0803,-0.0875,-0.233,0.0005,0.0489,0.1127,0.2635,0.716,-0.3916,0.0475
Ce,0.4075,0.1169,-0.0602,-0.268,0.133,-0.0766,0.207,-0.1855,-0.3371,-0.1582,-0.1766,-0.6886
Th,-0.0083,0.5808,0.0506,-0.1449,0.3056,-0.2587,0.2848,-0.2888,0.2087,0.1812,0.4693,0.1328
Y,-0.0194,0.3448,0.4599,-0.4048,0.0804,0.6148,-0.3162,0.1374,-0.036,-0.0215,-0.0161,0.0061
La,0.4275,-0.014,-0.0824,-0.1663,0.1132,0.0215,0.1369,-0.1525,-0.3566,-0.2425,-0.2043,0.7069
