Location,Series,Analyses,Cluster 0,Cluster 1
Australia,Anorogenic,100,99 (99.0%),1 (1.0%)
India,Anorogenic,17,12 (70.6%),5 (29.4%)
China (Yangtze Block),Anorogenic,13,13 (100.0%),0 (0.0%)
Antarctica,Anorogenic,11,10 (90.9%),1 (9.1%)
Russia,Anorogenic,8,1 (12.5%),7 (87.5%)
"USA (Leucite Hills, Wyoming)",Anorogenic,5,5 (100.0%),0 (0.0%)
Norway,Anorogenic,2,2 (100.0%),0 (0.0%)
Spain (Betics),Orogenic,74,0 (0.0%),74 (100.0%)
Macedonia,Orogenic,64,0 (0.0%),64 (100.0%)
Turkey West,Orogenic,53,14 (26.4%),39 (73.6%)
China,Orogenic,21,0 (0.0%),21 (100.0%)
Italy (Tuscany) V.EOM,Orogenic,18,0 (0.0%),18 (100.0%)
Bohemian Massif,Orogenic,15,6 (40.0%),9 (60.0%)
W Alps ,Orogenic,10,0 (0.0%),10 (100.0%)
Greece,Orogenic,8,0 (0.0%),8 (100.0%)
Serbia,Orogenic,7,0 (0.0%),7 (100.0%)
France (Corsica - Sisco),Orogenic,6,3 (50.0%),3 (50.0%)
Italy (Tuscany) T.A.,Orogenic,6,0 (0.0%),6 (100.0%)
Bulgaria,Orogenic,3,0 (0.0%),3 (100.0%)
Canada,Orogenic,2,0 (0.0%),2 (100.0%)
Pannonian Basin,Orogenic,1,1 (100.0%),0 (0.0%)
Peru,Orogenic,1,0 (0.0%),1 (100.0%)
