,Root Nodes,Root (%),Trees Using Variable,Trees Using Variable (%),Total Splits,Mean Splits per Tree,Mean Split Depth,Median Root Threshold,Median Split Threshold,Dominant Low-Value Class
Ti,51,29.1,157,89.7,253,1.45,2.16,15465,14565,Orogenic
Nb,31,17.7,164,93.7,358,2.05,2.82,81,22,Orogenic
Ba,26,14.9,138,78.9,220,1.26,2.71,5180,4922,Orogenic
La,23,13.1,111,63.4,178,1.02,2.45,149,148,Orogenic
Zr,15,8.6,98,56.0,142,0.81,2.78,1004,515,Orogenic
Ce,13,7.4,97,55.4,147,0.84,2.74,360,284,Orogenic
Th,11,6.3,104,59.4,154,0.88,3.06,37,37,Anorogenic
Sr,4,2.3,107,61.1,156,0.89,3.12,950,840,Orogenic
Y,1,0.6,119,68.0,173,0.99,3.36,22,31,Anorogenic
P,0,0.0,105,60.0,151,0.86,3.25,0,5848,0
K,0,0.0,92,52.6,126,0.72,3.09,0,49681,0
Rb,0,0.0,62,35.4,79,0.45,3.67,0,251,0
